prompt_id,layer,head,cv,kl,entropy,p_max
factual,12,1,0.777634,1.8988216,1.230591,0.562466
factual,12,2,0.907897,3.4010754,1.259508,0.598751
factual,12,3,1.193491,1.5439886,0.474964,0.898368
factual,12,4,1.290441,1.7156881,0.606426,0.861604
factual,12,5,0.958069,2.8187957,1.048265,0.665864
factual,12,6,0.704291,2.1536961,1.304385,0.540396
factual,12,7,0.836978,2.2524393,1.229129,0.564923
factual,12,8,0.886404,3.3760154,1.274794,0.597492
factual,12,9,1.004934,2.9116607,1.13952,0.655321
factual,12,10,0.990285,2.9869373,1.180907,0.651608
factual,12,11,1.245497,2.7331557,0.898765,0.753452
factual,12,12,0.769774,3.1583734,1.329454,0.533351
factual,12,13,1.371706,2.4778154,0.902432,0.774465
factual,12,14,0.939524,3.0957496,1.226552,0.604898
factual,12,15,1.156775,1.680446,0.700662,0.808151
factual,12,16,1.046491,1.7870958,0.725448,0.778442
factual,12,17,1.135836,1.809646,0.942747,0.720167
factual,12,18,1.14325,2.6326923,0.997767,0.710432
factual,12,19,1.011241,1.7369466,0.719146,0.786226
factual,12,20,1.01555,1.2681068,0.536357,0.855803
factual,12,21,0.791583,2.3754678,1.17451,0.478368
factual,12,22,1.180113,2.3729935,0.888005,0.746343
factual,12,23,0.736302,2.7786491,1.374466,0.506435
factual,13,0,1.265537,2.4314532,0.897685,0.752772
factual,13,1,1.291882,1.814698,0.76219,0.804472
factual,13,2,1.073654,1.0332974,0.612429,0.819883
factual,13,3,1.051856,2.5564597,1.013646,0.689358
factual,13,4,1.298231,1.8122773,0.550267,0.877365
factual,13,5,1.168136,2.3994768,1.114947,0.686685
factual,13,6,0.469677,1.4557303,1.091848,0.512276
factual,13,7,0.830526,2.2760868,1.300545,0.548448
factual,13,8,0.875637,3.4281769,1.265412,0.569778
factual,13,9,1.017734,3.1580629,1.070922,0.666753
factual,13,10,0.968878,2.8476462,1.224564,0.604679
factual,13,11,1.29646,1.6851966,0.660872,0.835369
factual,13,12,1.188874,1.9946407,0.825631,0.76892
factual,13,13,0.727587,0.9575944,0.280609,0.934763
factual,13,14,0.599433,1.0599507,0.683218,0.732338
factual,13,15,0.827988,2.9165173,1.279533,0.546117
factual,13,16,1.22559,2.2875075,0.745116,0.811246
factual,13,17,1.089669,3.3438315,1.103107,0.66726
factual,13,18,1.186182,2.3306749,0.978014,0.717114
factual,13,19,1.39226,2.1767952,0.739299,0.824246
factual,13,20,1.346185,2.293339,0.866688,0.772989
factual,13,21,1.033238,3.0514836,1.206461,0.636536
factual,13,22,1.286067,2.3100612,0.808706,0.795837
factual,13,23,1.106339,2.6840568,1.002187,0.714253
factual,14,0,0.752569,2.9567535,1.194208,0.527833
factual,14,1,0.522888,0.4232714,0.267899,0.913096
